id,nama_bahan_baku,stok,unit,user_id,created_at
01234567-89ab-4cde-8123-456789abcdef,AL ZURRI OUD,150,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 10:00:00+00
12345678-9abc-4def-8234-56789abcdef0,ANABELL LILY,200,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 10:05:00+00
23456789-abcd-4ef0-8345-6789abcdef01,BABY KISS,180,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 10:10:00+00
3456789a-bcde-4f01-8456-789abcdef012,BABY YOUNG,120,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 10:15:00+00
456789ab-cdef-4012-8567-89abcdef0123,BECAME ORANGE,160,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 10:20:00+00
56789abc-def0-4123-8678-9abcdef01234,BECMANE XX,140,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 10:25:00+00
6789abcd-ef01-4234-8789-abcdef012345,BILLIONER ELITE,190,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 10:30:00+00
789abcde-f012-4345-889a-bcdef0123456,BILLIONER GOLD,170,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 10:35:00+00
89abcdef-0123-4456-89ab-cdef01234567,CARMEIN IN BLUE,130,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 10:40:00+00
9abcdef0-1234-4567-8abc-def012345678,CHIPER POOL,110,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 10:45:00+00
abcdef01-2345-4678-8bcd-ef0123456789,DOCTORES BLUE,175,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 10:50:00+00
bcdef012-3456-4789-8cde-f01234567890,DOGGERS EXPLO,165,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 10:55:00+00
cdef0123-4567-489a-8def-012345678901,EXCOVIA CITY,155,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 11:00:00+00
def01234-5678-49ab-8ef0-123456789012,EXCOVIA MAGNETHYS,145,ml,3798ff14-acf7-40bd-a6bd-819f8479b880,2025-04-15 11:05:00+00
